Model Name,Release Year,Color,Series
'69 Mercury Cougar Eliminator,2012,Neon Yellow,HW Main Street 12
'69 Mercury Cougar Eliminator,2012,Metalflake Blue,Super Speeders
Amazoom,2012,Red,HW Main Street 12
Amazoom,2012,Yellow,HW Main Street 12
Amazoom,2012,Red,Mystery Models
'64 Lincoln Continental,2012,Black,HW Main Street 12
'64 Lincoln Continental,2012,Metalflake Dark Blue,HW Main Street 12
'64 Lincoln Continental,2012,Black,Super Speeders
'68 Chevy Nova,2012,Metalflake Blue,HW Racing 12
'68 Chevy Nova,2012,Black,HW Racing 12
'70 Chevelle SS,2012,Blue,HW Racing 12
'70 Chevelle SS,2012,Black,HW Racing 12
'67 Pontiac GTO,2012,Metalflake Blue,HW Racing '12
'67 Pontiac GTO,2012,Black,HW Racing '12
'70 Dodge Challenger Hemi,2012,Metalflake Blue,HW Racing 12
'70 Dodge Hemi Challenger,2012,White,HW Racing '12
'70 Dodge Challenger Hemi,2012,Black,HW Racing 12
'08 Dodge Challenger SRT8,2012,Metalflake Blue,HW Racing 12
Custom Volkswagen Beetle,2012,Blue,HW Racing 12
Custom Volkswagen Beetle,2012,Purple,HW Racing 12
Custom Volkswagen Beetle,2012,White,HW Racing 12
'71 Dodge Demon,2012,Blue,HW Racing 12
'71 Dodge Demon,2012,Blue,HW Racing 12
'71 Dodge Demon,2012,Black,HW Racing 12
'70 Ford Torino,2012,Matte Blue,Boulevard - Underdogs
'70 Ford Torino,2012,Blue,HW Racing 12
'70 Ford Torino,2012,Purple,HW Racing 12
'71 Maverick Grabber,2012,Metalflake Blue,HW Racing 12
'71 Maverick Grabber,2012,Metalflake Blue,HW Racing 12
'71 Maverick Grabber,2012,Metalflake Purple,HW Racing 12
'71 Maverick Grabber,2012,Metalflake Purple,HW Racing 12
Bone Shaker,2012,Metalflake Blue,HW Racing '12
Bone Shaker,2012,Metallic Blue,HW Racing '12
Acura NSX,2012,Metalflake Green,Thrill Racers - Race Course 12
Prototype H-24,2012,Blue,Thrill Racers - Race Course 12
Prototype H-24,2012,Matte Black,Team High-Speed Wheel
Prototype H-24,2012,Dark Red Metalflake,Super Speeders
'05 Dodge Charger Stock Car,2012,Orange,Thrill Racers - Race Course 12
Flight '03,2012,Metalflake Dark Red With Dark Gray Fenders,Thrill Racers - Race Course 12
Flight '03,2012,Metalflake Dark Blue With Dark Gray Fenders,Mystery Models
Flight '03,2012,Dark Blue,Max Steel - Urban Storm (Tempestade Urbana)
24/Seven,2012,Light Blue,Thrill Racers - Race Course 12
24/Seven,2011,Fluorescent-Blue,Team Hot Wheels 5-pack
Toyota Land Cruiser FJ40,2012,Red,Thrill Racers - Swamp Rally 12
Toyota Land Cruiser FJ40,2012,Blue,Racing 2012
Swamp Buggy,2012,Metalflake Gold,Thrill Racers - Swamp Rally 12
Mitsubishi 2008 Lancer Evolution,2012,Metalflake Teal,Thrill Racers - Swamp Rally 12
Mitsubishi Pajero Evolution,2012,Matte Lime Green,Thrill Racers - Swamp Rally 12
Arachnorod,2012,Metalflake Dark Orange,Thrill Racers - Swamp Rally 12
Cadillac Cien Concept,2012,Metalflake Dark Blue,Thrill Racers - Space 12
Night Burner,2012,Metallc Gray,Thrill Racers - Space
Jet Threat 4.0,2012,Cream,Thrill Racers - Space '12
RocketFire,2012,Orange,Thrill Racers - Space 12
Spector,2012,Metalflake Burgundy,Thrill Racers - Space 12
2009 Corvette Stingray Concept,2012,Matte Black,Thrill Racers - City Stunt 12
'09 Corvette Stingray Concept,2012,Metalflake Red,Boulevard - Concept Cars
Fast Fish,2012,Yellow,Thrill Racers - City Stunt 12
Fast Fish,2012,Lime Green,Mystery Models
Fast Fish,2012,Purple Metalflake,Super Speeders
Citroën C4 Rally,2012,Green,Thrill Racers - City Stunt '12
Citroën C4 Rally,2012,Light Blue,Thrill Racers - City Stunt '12
Synkro,2012,Red,Thrill Racers - City Stunt 12
Jaded,2012,Metalflake Purple,Thrill Racers - City Stunt 12
Jaded,2012,Yellow,Mystery Models
Dodge XP-07,2012,Metalflake Gray,Thrill Racers - Volcano 12
Dodge XP-07,2012,Black Matte,Mystery Models
Sling Shot,2012,Metalflake Burgundy,Thrill Racers - Volcano 12
Blast Lane,2012,Matte Burgundy,Thrill Racers - Volcano 12
Fast FeLion,2012,Black,Thrill Racers - Volcano 12
Skull Crusher,2012,Transparent Orange,Thrill Racers - Volcano 12
Skull Crusher,2012,Purple,Color Shifters - 2-Packs
Ford F-150,2012,Matte Burnt Orange,Thrill Racers - Beach 12
